radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
0.0042289609779031494,0.002440056417489422,0.028866948754113775,0.23530794546309355,2.7832628114715564e-05,6.525622943112365e-05,7.054536906440996e-05,3.4579219558063e-05,5.686412787964269e-05,1.8502585801598497e-05,0.00025740479548660083,0.00021281147155618243,0.0020190409026798308,0.03606017865538317,1.504231311706629e-06,1.152797367183827e-05,1.2630465444287729e-05,3.730606488011283e-06,7.059238363892807e-06,1.4558062999529853e-06,0.005966149506346967,0.004073812881993418,0.043394452280206865,0.47461212976022565,3.81288199341796e-05,0.00015646450399623882,0.00016734837799717913,6.238834038551952e-05,0.00010815702867889045,2.7950164551010816e-05
0.0048354489891866475,0.004177244945933239,0.031241184767277858,0.31170662905500707,1.9920075223319228e-05,1.848613070051716e-05,2.0427832628114716e-05,1.6495063469675598e-05,4.259520451339915e-05,1.3321579689703808e-05,0.0001277621062529384,0.0001725199811941702,0.0007987776210625294,0.017414198401504467,1.2282557592853784e-06,3.07475317348378e-06,4.3723554301833565e-06,3.149976492712741e-06,3.265162200282087e-06,8.302773859896568e-07,0.005874471086036671,0.005503055947343676,0.037329572167371886,0.459802538787024,2.9102021626704276e-05,4.386459802538787e-05,5.679360601786554e-05,4.372355430183357e-05,6.464503996238834e-05,2.092618711800658e-05
0.004628584861307006,0.00499529854254819,0.0305594734367654,0.2827926657263752,2.5763986835919134e-05,3.7588152327221434e-05,4.64033850493653e-05,3.0065820404325344e-05,4.863657733897508e-05,1.410202162670428e-05,0.0001752703338034791,0.00018497884344146687,0.0010778091208274564,0.022103902209685004,1.4456981664315939e-06,9.417019275975552e-06,9.007992477668077e-06,4.837799717912553e-06,5.289139633286318e-06,1.0745181006111896e-06,0.005540667606958157,0.006001410437235543,0.035848613070051716,0.4017395392571697,3.3944522802068644e-05,9.978843441466854e-05,0.00010587682181476258,5.712270803949224e-05,8.493182886694875e-05,2.058768218147626e-05
0.002684532204983545,0.004790785143394452,0.018236953455571227,0.09076163610719323,3.349788434414668e-05,6.673718852844381e-05,5.674659144334744e-05,2.4729666196520922e-05,6.104842501175364e-05,2.2905500705218618e-05,0.0001165021156558533,0.0002717442407146215,0.000809826046074283,0.006401034320639399,2.141513869299483e-06,1.7531734837799715e-05,1.3307475317348379e-05,4.3888105312646914e-06,1.4017395392571697e-05,2.164551010813352e-06,0.0035049365303244004,0.006229431123648331,0.02324165491302304,0.13345086976962858,4.9318288669487536e-05,0.00020364362952515278,0.00016147155618241653,6.0531264692054537e-05,0.0001560413728255759,4.066760695815703e-05
0.004769628584861307,0.0033709449929478137,0.03175834508697696,0.3048895157498825,2.3577809120827455e-05,3.1217677480018804e-05,4.654442877291961e-05,2.451810061118947e-05,4.2524682651622006e-05,1.3829337094499295e-05,0.00017799717912552891,0.00018366243535496003,0.0012783262811471555,0.022200282087447107,2.70098730606488e-06,5.78514339445228e-06,1.3370944992947815e-05,4.431123648330982e-06,4.127879642689234e-06,1.202397743300423e-06,0.005298542548189939,0.0039186647860836865,0.03577809120827456,0.3702397743300423,3.229901269393512e-05,4.8189938881053126e-05,9.402914903620123e-05,3.819934179595675e-05,5.557122708039492e-05,1.8048895157498826e-05
0.002926657263751763,0.0036906440996708977,0.019409967089797836,0.11215326751292902,3.004231311706629e-05,3.9962388340385525e-05,3.709449929478138e-05,1.9015044663845793e-05,4.905970850963799e-05,1.7896097790315e-05,7.863187588152328e-05,0.0002092618711800658,0.0005211565585331453,0.006391631405735778,1.765397273154678e-06,7.863187588152327e-06,8.631875881523273e-06,2.6727785613540196e-06,5.089327691584391e-06,1.1946403385049364e-06,0.0036365773389750826,0.005582980724024448,0.024306535025858018,0.17433004231311708,4.21015514809591e-05,0.00012338975082275505,0.00012588152327221437,4.092618711800658e-05,9.367653972731547e-05,2.9243065350258578e-05
0.004290079924776681,0.0046967559943582515,0.028114715561824166,0.2444757874941232,2.2244945933239306e-05,2.5622943112364832e-05,2.6492712740949695e-05,1.7395392571697225e-05,4.217207334273625e-05,1.3497884344146686e-05,0.00010500705218617771,0.00018175834508697697,0.0007475317348377997,0.01267277856135402,1.0141043723554302e-06,3.2487070992007523e-06,5.2985425481899395e-06,2.4424071462153268e-06,3.218147625763987e-06,5.122237893747061e-07,0.00537846732487071,0.0065021156558533145,0.036013164080865065,0.37752703338034793,3.3897508227550536e-05,6.055477197931359e-05,8.895157498824636e-05,4.541607898448519e-05,7.200282087447109e-05,1.9670897978373297e-05
0.003222849083215797,0.004896567936060178,0.021203573107663375,0.13584861307005172,2.7950164551010816e-05,3.8669487541137756e-05,2.2016925246826513e-05,1.4069111424541608e-05,5.162200282087447e-05,1.7515279736718386e-05,0.00013716502115655854,0.0003236953455571227,0.0009064409967089798,0.011979313587212036,2.0698166431593794e-06,7.120357310766338e-06,5.848613070051716e-06,3.4038551951104844e-06,3.4931828866948756e-06,1.2722143864598025e-06,0.004010343206393982,0.006614950634696756,0.025999059708509638,0.21086036671368125,3.88810531264692e-05,8.655383168782323e-05,6.295251527973672e-05,3.6577338975082276e-05,7.512929007992478e-05,2.70568876351669e-05
0.0030559473436765397,0.005129290079924777,0.020568876351669017,0.12219087917254348,2.9924776680771038e-05,4.541607898448519e-05,4.3700047014574524e-05,2.1986365773389752e-05,5.5242125058768216e-05,1.736953455571227e-05,7.200282087447109e-05,0.00023554301833568405,0.0005655853314527504,0.005716972261401034,1.347202632816173e-06,8.232251998119417e-06,8.352139163140573e-06,2.8819934179595675e-06,5.037611659614481e-06,8.81288199341796e-07,0.0036412787964268923,0.007223789374706159,0.024964739069111425,0.1737893747061589,4.003291020216267e-05,0.0001269628584861307,0.00012670427832628116,4.842501175364363e-05,0.00010291490362012225,2.519981194170193e-05
0.002929007992477668,0.0056511518570756935,0.01973906911142454,0.1118711800658204,2.787964268923366e-05,5.632346027268453e-05,5.3432063939821346e-05,2.0082275505406678e-05,4.7719793135872126e-05,1.9377056887635167e-05,6.99576868829337e-05,0.0003758815232722144,0.00047931358721203576,0.005627644569816644,1.6805359661495063e-06,1.6965209214856605e-05,1.820169252468265e-05,3.3662435354960036e-06,4.205453690644099e-06,2.369534555712271e-06,0.003547249647390691,0.009562764456981664,0.022954866008462624,0.16723084156088386,4.3559003291020215e-05,0.00024870709920075224,0.0002597555242125059,5.1951104842501174e-05,0.00010263281617301363,4.8777621062529384e-05
0.003765867418899859,0.00546309355900329,0.024141984015044665,0.18754113775270334,1.929007992477668e-05,1.5677009873060647e-05,7.755054066760696e-06,7.811471556182416e-06,3.5919134931828866e-05,1.339210155148096e-05,8.921015514809592e-05,0.00027903149976492715,0.0005796897038081806,0.009522802068641279,9.471086036671367e-07,2.1788904560413726e-06,2.588152327221439e-06,1.7844381758345086e-06,3.432063939821345e-06,7.150916784203103e-07,0.004511048425011754,0.007964268923366245,0.029102021626704278,0.27033380347907854,2.776210625293841e-05,3.6459802538787024e-05,3.42971321109544e-05,2.3448519040902682e-05,6.929948283968031e-05,1.986835919134932e-05
