meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx
4.564782886325491e-05,4.905363128497885e-05,2.4455252144688082e-05,1.150835395044142e-05,6.887030567217303e-05,5.7361951721731624e-05,0.009822339075319474,0.2095297840669514,0.0006821629699249975,0.0003756207434591249,0.0,4.564782886325491e-05,6.435421280064782e-05,1.1989549319251082e-05,0.00021064397855718713,5.9655032989828435e-06,5.9655032989828435e-06,5.9655032989828435e-06,0.0,0.0
5.040324589360164e-05,5.139688945058691e-05,3.0718035228981116e-05,1.482412645378694e-05,7.075845925879728e-05,5.593433280501034e-05,0.01712207139916017,0.4845812534849184,0.0006812648614485038,0.00039227152350989464,0.0,5.040324589360164e-05,8.241867097624731e-05,1.2084422113073043e-05,0.000190896105567451,6.883273037287837e-06,5.9655032989828435e-06,4.175852309287991e-05,3.579301979389706e-05,4.0188653803673875e-05
5.9036913458489244e-05,6.401083996112289e-05,2.803764305015542e-05,6.643991244112635e-06,0.0001007229072607477,9.407891601663553e-05,0.02348568411067695,0.7826188292777011,0.0006462895257377237,0.00036568438180097855,0.0,5.9036913458489244e-05,7.537056371335039e-05,1.1954354947472458e-05,0.00020707374163248912,6.101082919414259e-06,5.9655032989828435e-06,1.1931006597965687e-05,5.9655032989828435e-06,3.55155545241769e-05
0.00011547541505052033,5.506252111460027e-05,0.00012065488099308576,7.374830280965044e-05,0.00015879139073429228,8.504308792464229e-05,0.000941370757292197,0.003189718313356008,0.0007355780252514798,0.0005553028729902331,6.4048075593246e-05,0.00011547541505052033,6.793217248272338e-05,1.358993410046371e-05,0.000190896105567451,0.0001538602725862656,5.9655032989828435e-06,0.0004295162375267647,0.0004235507342277819,0.0001886962784866484
0.00010317582287080527,6.0434729420303405e-05,9.518555439485793e-05,6.010953205669173e-05,0.00015733269770770912,9.722316565101745e-05,0.0008408390572013372,0.003309155855521598,0.0007421697553422344,0.0005983203625363451,7.961238265135709e-05,0.00010317582287080527,8.124373671519225e-05,1.292841349874798e-05,0.0002036225126052813,0.0005442925209991946,5.9655032989828435e-06,0.004187783315885956,0.004181817812586973,0.0001590347013571915
0.00010139363210817843,6.07483835415737e-05,9.093515301850171e-05,5.189166482262935e-05,0.00016004087972940775,0.00010814921490677769,0.0014756745682031655,0.0063445428163170624,0.0007354702718683428,0.000563759727477917,8.594556986247962e-05,0.00010139363210817843,8.409501860037211e-05,1.306668530087362e-05,0.00019392620248122008,0.00022771766041289706,5.9655032989828435e-06,0.0020819606513450125,0.0020759951480460296,9.556995323427966e-05
0.00011511976678860903,5.685894352560621e-05,0.0001222547399485162,7.093618050501134e-05,0.00015708312516640784,8.614694466139633e-05,0.001168775327527901,0.004571959940063845,0.0007388237236076194,0.0005823382448593209,6.581854022809666e-05,0.00011511976678860903,8.089758147297241e-05,2.0028443862814523e-05,0.0002036225126052813,0.0003662300286158161,5.9655032989828435e-06,0.004056542243308333,0.004050576740009351,9.467825643965311e-05
0.00012256624359362236,5.86179974376064e-05,0.00011021331311744913,8.440064194048111e-05,0.00017712247393143234,9.272183199095121e-05,0.0010668468358555668,0.00363970967375117,0.0007324718464795984,0.0005496722840684994,9.798625834941205e-05,0.00012256624359362236,7.105338625982898e-05,1.3559767765057588e-05,0.00011006622302988155,0.00023009798438933845,5.9655032989828435e-06,0.0004116197276298162,0.00040565422433083334,0.00021680960406076982
0.0001086118029065952,5.957368257311843e-05,0.0001058232133194988,6.735293984774457e-05,0.00015927412287838509,9.192118303064112e-05,0.0008397490295193509,0.003108005232017558,0.000741228909352975,0.0005887175225024139,0.00016730374382108805,0.0001086118029065952,7.386071650612268e-05,1.371195371079332e-05,0.000190896105567451,0.0002569280558768816,5.9655032989828435e-06,0.0016524444138182476,0.0016464789105192649,0.00011321820307902316
0.00010257136181633188,6.135402941528693e-05,9.273835655186665e-05,5.7711702239501206e-05,0.00015421131026115207,9.649960802165073e-05,0.000908946800858312,0.003655515213083872,0.000744682762310652,0.0006143076788540674,8.93297224073749e-06,0.00010257136181633188,8.084902594173931e-05,1.4737455677101175e-05,0.00020028443862814523,0.00025989709372568567,1.1931006597965687e-05,0.003585267482688689,0.003573336476090723,6.866149718412492e-05
