Culture,Criticality,Criticality Modifier,Initial Known,Inter-Dependency,Dynamism,Size,Plan,Team Size
0.9240542367943604,0.8220773385186168,0.7168858459980556,0.3082301053906936,0.8844308051417393,0.9585629737342514,0.4640410658833397,0.8222732405018924,0.3589504195966396
0.2427213724960452,0.2632470528609076,0.1185129190944309,0.2834730757955381,0.8409445556631516,0.7751659576395975,0.9935554958019676,0.8731356996419827,0.8507890094929269
0.2344972771369842,0.9231546534841928,0.5722550469199563,0.7682789756228021,0.5193866970500499,0.2716187187908389,0.6284123900939806,0.5276339724200434,0.734564233383621
0.7811950147615536,0.8130727150771193,0.2994191119510351,0.5728932266106546,0.769289482245867,0.5434403679470101,0.5462508759417143,0.8270846640142588,0.855247999033187
0.635451614526846,0.3392839158829782,0.6869834788208254,0.252509972583649,0.7711685371385525,0.8221253472014481,0.855784291166465,0.1704352266802856,0.1505447098780739
0.0424372266466939,0.3468202839866431,0.5017551825317478,0.5587805914581483,0.1431234393203894,0.9793006605887368,0.5139912048570446,0.8161274940484688,0.8957435460357287
0.1074787487911862,0.4019010351718566,0.8974644210299941,0.4690974518714945,0.8372743392934658,0.8178317712732056,0.3550781820009728,0.8832140238228096,0.3023477072859525
0.0330144651295699,0.261345932115796,0.9256736122833568,0.2264629068760099,0.2175468944303032,0.661315437709603,0.8610022787307171,0.8403739258833943,0.3232785985140588
0.0827334034421689,0.1700011941064335,0.3664397559564729,0.1045485050002589,0.2546276312669659,0.1855376039317464,0.7477194952147991,0.5320851880023589,0.8469747937284952
0.6367678325129025,0.3724977144812835,0.6569391608143832,0.8031263185049294,0.9941786650257236,0.4270929580471236,0.5197492407638676,0.2101879730853004,0.5152415189435521
0.2389451344526486,0.9055902957979848,0.9290782409993544,0.7157694103512845,0.9507910333301116,0.1219258850752409,0.011767969385196,0.3095221825529488,0.3109418363320277
0.6006962186488959,0.0283365192958446,0.444082802793741,0.2254828549234249,0.9969657369228836,0.4663059627736434,0.6007333246604566,0.6198442566917098,0.0538937881083809
0.1255333844722332,0.303129015097045,0.8767893263556118,0.4027726032089274,0.4558725900651222,0.7979263886037791,0.9452055622481256,0.6561880852115097,0.6283163124465402
0.6796090851897747,0.4620993027459893,0.2082213788609254,0.0449024618622373,0.6725881235440994,0.0325212385661292,0.7896155914246424,0.8822717568132821,0.5511903171034335
0.7704443748103815,0.2704098977449313,0.9942653567733136,0.5510674912783207,0.994277179966602,0.4198726397814609,0.1334016023018065,0.9237925839492908,0.4753439760545642
0.0789543868840884,0.965669715649098,0.6409042618988906,0.0087119431709571,0.3396994635259501,0.9719268860935276,0.8474929461541675,0.8187435536890721,0.0582983069881705
0.0116346241068099,0.9974291721179293,0.8360797709405827,0.6223472605393283,0.8058919293910554,0.1288750969353942,0.9258342486991646,0.4820306806512994,0.2646663745110585
0.770111324679231,0.6990146759212327,0.7178714670847897,0.1607647177114372,0.7646449136740048,0.5694147940209183,0.0845156020224021,0.7415982923243624,0.2832481050633574
0.4085780023862496,0.3500887511981293,0.8945471150983799,0.0083204294551443,0.6632808572578764,0.3384454788898329,0.0881342004330819,0.903762702244584,0.4387848267544816
0.3637155881306747,0.4523819210956749,0.1554829063441237,0.3173906544230499,0.2192166321351726,0.384048054094226,0.8500638171435357,0.2941028501398752,0.7520239258353474
0.5870062443468598,0.6206617074031611,0.0194131207463087,0.3702564361384439,0.3542963217136056,0.6687815427405241,0.7396497860915435,0.1123352082532461,0.0242144163732251
